Instance,,SATDiv-CaDiCaL,,,SATDiv-Maple,,,DiversekSet,
,,avg.dis,time,,avg.dis,time,,avg.dis,time
software/olpch2294,,27593.1,<1,,28555.1,<1,,26670.8,<1
software/olpcl2294,,27938.3,<1,,28992.3,<1,,26422.9,<1
software/p2106,,27069.4,<1,,28309.3,<1,,26311.8,<1
software/pati,,27312.2,<1,,28412.0,<1,,26444.8,<1
software/pc_i82544,,27735.7,<1,,28680.2,<1,,26658.9,<1
software/pc_i82559,,27330.8,<1,,28810.4,<1,,26653.8,<1
software/pc_rltk8139,,27648.7,<1,,28940.4,<1,,26772.3,<1
software/pc_usb_d12,,28090.4,<1,,29078.9,<1,,27249.2,<1
software/pc_vmWare,,27639.4,<1,,28738.9,<1,,26485.4,<1
software/phycore,,27377.0,<1,,28691.0,<1,,26320.8,<1
software/phycore229x,,28672.1,<1,,29902.3,<1,,27470.7,<1
software/picasso,,26888.1,<1,,28050.5,<1,,26100.6,<1
software/pid,,26398.8,<1,,27747.1,<1,,25817.6,<1
software/prpmc1100,,26772.0,<1,,27849.1,<1,,25548.3,<1
software/psim,,26179.8,<1,,27006.4,<1,,25098.5,<1
software/rattler,,29578.9,<1,,30437.6,<1,,28050.9,<1
software/ref4955,,26471.6,<1,,27847.7,<1,,25831.9,<1
software/refidt334,,27567.7,<1,,29198.6,<1,,26611.2,<1
software/sa1100mm,,26522.4,<1,,27601.3,<1,,25598.7,<1
software/sam7ex256,,28088.6,<1,,29563.2,<1,,27667.9,<1
software/se7751,,28347.9,<1,,29521.4,<1,,27321.4,<1
software/sh4_202_md,,27486.4,<1,,28563.0,<1,,26477.5,<1
software/sh7708,,26846.9,<1,,28125.6,<1,,26045.2,<1
software/skmb91302,,26629.0,<1,,27649.9,<1,,25720.8,<1
software/sleb,,26224.2,<1,,27182.9,<1,,25200.7,<1
software/smdk2410,,27329.6,<1,,28658.0,<1,,26478.2,<1
software/snds,,26629.9,<1,,27710.3,<1,,25616.2,<1
software/sparc_erc32,,25805.9,<1,,26656.6,<1,,24892.5,<1
software/sparc_leon,,25688.2,<1,,26753.3,<1,,24749.8,<1
software/sparclite_sim,,25595.1,<1,,26611.4,<1,,24670.2,<1
